CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
311999,2013,1242,564,934,569,4403,3624,229434,4850568,38455,0,130963,3582084,1226603,2888110,81602,140327,43986,52225,47396,92164,254421,10345,1579,59908,567,165233,736462,328158,115093,31904,58853,97842,55926,10312,Cifras definitivas
312,2013,79260,10472,19283,3152,229614,55566,12173710,293331525,2187679,985122,8575072,256419982,37549613,61717428,5264813,48281791,3544736,4227224,2634056,2894891,6186612,7433063,2998703,1985875,777960,7900966,80379642,31852829,10318719,1732683,16608672,8204886,7728829,935435,Cifras definitivas
3121,2013,78233,10237,18625,2852,226808,53267,11849602,256241751,2148679,121165,8111648,219866972,37163794,59799283,3316448,48234240,3502917,4063752,2557122,2791563,5160569,7040389,2940734,1949396,482398,7435762,76992652,30454056,10200809,1482397,16511943,7847164,7248223,856670,Cifras definitivas
312111,2013,35494,3637,5886,955,96851,17082,7334055,147275621,2015299,28640,4791534,144849566,2496043,47711605,78491,20989737,1433636,2407256,1603100,1421450,1184576,2528428,2668898,937883,287113,3260223,25862578,12506582,7708707,1061821,14704639,4243292,5077204,550752,Cifras definitivas
312112,2013,36543,5949,3445,501,113517,9715,2453916,9414806,0,0,422092,9430238,0,778841,0,423982,604030,383524,278283,97486,421251,74389,0,543478,89796,625946,3159571,2092052,1642903,59158,277292,596795,86391,40350,Cifras definitivas
312120,2013,4863,81,5689,255,11926,15531,1775388,77951985,0,12452,1687852,52839931,25530549,7292891,2922302,24454560,1102540,1100565,520032,898795,1822889,2515321,0,262908,37351,3109974,43825562,13561199,383875,180232,1395144,2576024,1836219,236239,Cifras definitivas
312131,2013,211,64,1146,426,640,3218,39314,3439956,0,0,429144,3399131,75696,702378,148451,651275,17292,37754,26262,100706,439153,309535,2251,23337,646,109170,563472,337999,8873,8936,32032,61972,60512,6508,Cifras definitivas
312141,2013,112,47,297,82,410,827,11608,1296457,0,0,375713,1084255,228772,402358,0,268047,118783,2033,12170,21984,185964,489854,0,3720,35466,10187,177427,704589,281748,48699,2810,51227,20895,700,Cifras definitivas
312142,2013,870,386,2161,632,2960,6890,195545,16606890,133380,80073,374642,8131946,8708397,2824991,144540,1387865,221879,126287,115355,242971,1106397,1119611,269585,175317,28778,309821,3340970,1147543,152471,120350,90486,304489,156402,18597,Cifras definitivas
312149,2013,140,73,1,1,504,4,39776,256036,0,0,30671,131905,124337,86219,22664,58774,4757,6333,1920,8171,339,3251,0,2753,3248,10441,63072,104092,22232,3201,9540,13365,10600,3524,Cifras definitivas
3122,2013,1027,235,658,300,2806,2299,324108,37089774,39000,863957,463424,36553010,385819,1918145,1948365,47551,41819,163472,76934,103328,1026043,392674,57969,36479,295562,465204,3386990,1398773,117910,250286,96729,357722,480606,78765,Cifras definitivas
312210,2013,299,147,0,0,1095,0,64875,720264,39000,0,11454,462915,257349,518986,0,8197,8012,20069,8145,5637,0,585,21211,10442,0,29069,148049,114043,12825,11271,10850,20471,13121,841,Cifras definitivas
312221,2013,728,88,658,300,1711,2299,259233,36369510,0,863957,451970,36090095,128470,1399159,1948365,39354,33807,143403,68789,97691,1026043,392089,36758,26037,295562,436135,3238941,1284730,105085,239015,85879,337251,467485,77924,Cifras definitivas
313,2013,33035,12001,9249,4182,106785,32413,5270502,45451585,2244884,1578020,424042,31373486,14281565,12757870,10196873,427101,945839,1061401,2575858,490876,1793702,52049,1093665,768142,218499,1372374,25800194,5630422,499530,353146,468123,1550268,714964,172347,Cifras definitivas
3131,2013,4057,2074,2932,1056,14770,9601,707594,7606676,386300,133524,114137,5692653,1900962,2040901,1647517,129854,68542,183967,688002,66895,451538,8746,57811,213240,28149,221771,6003580,1116632,101140,34778,88632,330266,170682,10841,Cifras definitivas
313112,2013,2171,1041,2664,970,7594,8753,357751,4986751,229766,133524,69850,3723146,1248250,1541300,1127602,90144,38337,100961,537841,41342,425519,2271,9993,64846,26,140005,4533454,784990,68831,19612,38941,243512,96426,9942,Cifras definitivas
313113,2013,1886,1033,268,86,7176,848,349843,2619925,156534,0,44287,1969507,652712,499601,519915,39710,30205,83006,150161,25553,26019,6475,47818,148394,28123,81766,1470126,331642,32309,15166,49691,86754,74256,899,Cifras definitivas
3132,2013,24046,6988,5020,2714,75075,18918,3798501,31510959,1041146,915294,273676,22474370,9069002,8905209,6712004,263600,740439,768543,1717744,391511,1044498,37021,767250,418304,185404,957737,18402844,4365823,330863,269305,324221,1105051,472549,156825,Cifras definitivas
313210,2013,17891,5012,2982,708,55522,9085,2703305,19759590,630114,914594,206306,12884957,6945247,4326720,5292720,182027,562450,495728,1293410,252307,465079,24859,221059,258336,37813,616886,12345754,3260533,174450,114416,214937,774928,309533,131632,Cifras definitivas
313220,2013,1349,977,675,503,5418,2609,255307,1728996,13357,0,28553,1423932,337490,521783,96389,18769,37241,39215,40086,23810,136615,2849,179552,44183,6815,114231,867240,122482,35413,36575,25181,54349,45146,3448,Cifras definitivas
313230,2013,1607,188,217,121,4403,788,386724,4922969,318,0,22441,3635710,1256635,1863740,874210,49798,56092,117821,203170,86441,118722,2882,19192,38986,140776,81020,2390717,555375,50563,41538,46573,139691,78047,11801,Cifras definitivas
313240,2013,3199,811,1146,1382,9732,6436,453165,5099404,397357,700,16376,4529771,529630,2192966,448685,13006,84656,115779,181078,28953,324082,6431,347447,76799,0,145600,2799133,427433,70437,76776,37530,136083,39823,9944,Cifras definitivas
3133,2013,4932,2939,1297,412,16940,3894,764407,6333950,817438,529202,36229,3206463,3311601,1811760,1837352,33647,136858,108891,170112,32470,297666,6282,268604,136598,4946,192866,1393770,147967,67527,49063,55270,114951,71733,4681,Cifras definitivas
313310,2013,3283,2393,599,212,12255,1851,443353,2347848,692350,529202,4465,414626,2084198,161171,1062643,27850,101302,41256,74723,5012,134629,75,47610,48049,0,78131,723753,78333,27915,20831,31290,52805,30718,3553,Cifras definitivas
313320,2013,1649,546,698,200,4685,2043,321054,3986102,125088,0,31764,2791837,1227403,1650589,774709,5797,35556,67635,95389,27458,163037,6207,220994,88549,4946,114735,670017,69634,39612,28232,23980,62146,41015,1128,Cifras definitivas
314,2013,7271,5117,3933,2031,28649,14100,1362344,10090589,170422,930389,161708,8630894,1561557,3825773,1114535,104002,85338,160500,321614,115617,841827,64735,358692,208933,33884,492179,4452684,1084355,214639,145093,123435,277605,158767,20470,Cifras definitivas
3141,2013,3233,2985,1785,1110,13734,6823,746720,5306216,101397,534612,102110,4862386,507961,1980330,542841,50107,49114,59567,63667,50084,408232,63034,259545,124184,33884,277582,2242404,667716,94208,94623,85970,135212,69779,14411,Cifras definitivas
314110,2013,509,179,0,0,1440,0,143043,813110,451,0,22241,493737,333158,356375,26964,4465,6468,708,5202,275,0,14471,0,2175,0,20227,741237,338287,10785,31078,45131,37461,22368,12000,Cifras definitivas
314120,2013,2724,2806,1785,1110,12294,6823,603677,4493106,100946,534612,79869,4368649,174803,1623955,515877,45642,42646,58859,58465,49809,408232,48563,259545,122009,33884,257355,1501167,329429,83423,63545,40839,97751,47411,2411,Cifras definitivas
3149,2013,4038,2132,2148,921,14915,7277,615624,4784373,69025,395777,59598,3768508,1053596,1845443,571694,53895,36224,100933,257947,65533,433595,1701,99147,84749,0,214597,2210280,416639,120431,50470,37465,142393,88988,6059,Cifras definitivas
314911,2013,1387,1320,951,738,6606,4167,273384,2887179,36315,35921,43198,2147163,762447,1080525,432400,8004,12464,53332,137381,47061,241907,268,92931,17566,0,114280,1228820,284661,33612,28662,18335,81962,56028,4533,Cifras definitivas
314912,2013,545,164,817,47,1597,1770,67513,332352,0,288798,1780,323467,6766,190466,10085,1538,5522,5969,13209,2126,135737,911,712,24543,0,37897,105074,11495,31479,10805,6420,12535,2999,335,Cifras definitivas
314992,2013,679,294,47,24,2478,157,93069,542506,130,35488,194,371261,172412,276122,26894,20553,2640,14126,32067,5192,6725,307,587,6643,0,18297,330055,21958,21771,3790,4421,16259,14214,652,Cifras definitivas
314993,2013,1347,183,333,112,3686,1183,160829,1009513,32580,0,14426,913834,111971,291147,102315,23503,15432,26437,73934,11127,49226,215,4673,33881,0,40324,545365,91175,31919,6617,7830,30701,15718,539,Cifras definitivas
314999,2013,80,171,0,0,548,0,20829,12823,0,35570,0,12783,0,7183,0,297,166,1069,1356,27,0,0,244,2116,0,3799,966,7350,1650,596,459,936,29,0,Cifras definitivas
315,2013,51160,71692,13692,14175,279869,63486,10009839,38721960,3988882,13378569,1311374,30225168,8454860,13045008,3853348,622882,419225,615166,912837,380832,2729722,405130,7551883,969832,243100,3308530,7844853,3430319,808165,600808,600592,975737,568321,101944,Cifras definitivas
3151,2013,6053,8627,920,1490,33043,5470,1225179,7067100,802862,666414,193843,5795098,1257465,2382712,548138,143492,129901,135445,313760,99447,253505,123718,1402641,171996,34712,369072,3106302,451407,118607,128624,61086,248178,120569,59219,Cifras definitivas
315110,2013,2500,3523,513,858,14030,3257,482580,2638841,232046,262504,67384,2247404,406115,1078902,123363,51726,67907,49980,138913,37042,161606,104618,234981,84411,9921,184412,702640,206964,40235,21787,12024,71801,38771,32874,Cifras definitivas
